NombrePartido,AbreviaturaPartido,Candidato,UrlFoto,UrlPlan,UrlEntrevistaTSE
PARTIDO JUSTICIA SOCIAL COSTARRICENSE,PJSC,WALTER RUBEN HERNANDEZ JUAREZ,https://www.tse.go.cr/fichas/static/25f0a995e06a5b15ad6715b12ca33dec/1d851/106680588.jpg,https://www.tse.go.cr/fichas/static/7e6d64c99fc3cccc2e7d6921f29bad6d/280_1_106680588.pdf,https://www.youtube.com/watch?v=NFy3G6jqJjg
PARTIDO PROGRESO SOCIAL DEMOCRATICO,PPSD,LUZ MARY ALPIZAR LOAIZA,https://www.tse.go.cr/fichas/static/29521a108f1668229277e7dfcd91c8da/1d851/107110855.jpg,https://www.tse.go.cr/fichas/static/1d941173ba8cde29a0242434b1598703/245_1_107110855.pdf,https://www.youtube.com/watch?v=oh-LZ8mQ_UM
PARTIDO UNION COSTARRICENSE DEMOCRATICA,PUCD,BORIS MOLINA ACEVEDO,https://www.tse.go.cr/fichas/static/f9d96f9057ebbbd5b3ed32084f6d3309/1d851/106960764.jpg,https://www.tse.go.cr/fichas/static/aa4fc6cb10728cdabee961135e682d7a/278_1_106960764.pdf,https://www.youtube.com/watch?v=YwYAhBZKQEA
PARTIDO UNIDOS PODEMOS,NATALIA DIAZ QUINTANA,UP,https://www.tse.go.cr/fichas/static/c27e4db60ccb171bcf284f8e51567b96/1d851/112260846.jpg,https://www.tse.go.cr/fichas/static/6abb1b68e386dbac5c5fef53a5f47e40/241_1_112260846.pdf,https://www.youtube.com/watch?v=1Mf3kzWgKaw
PARTIDO NUEVA GENERACION,PNG,FERNANDO DIONISIO ZAMORA CASTELLANOS,https://www.tse.go.cr/fichas/static/91df5a433e7c429e79d0b80a3946fc1a/1d851/107230074.jpg,https://www.tse.go.cr/fichas/static/3bffc392a0e2b8fe9e20ec0dcb5e94b1/149_1_107230074.pdf,https://www.youtube.com/watch?v=LWlrGVAiZR4
PARTIDO ESPERANZA Y LIBERTAD,PEL,MARCO DAVID RODRIGUEZ BADILLA,https://www.tse.go.cr/fichas/static/cac464f60fef9478bb0e30328267515b/1d851/401890740.jpg,https://www.tse.go.cr/fichas/static/65ae461ce4dd07f4e26ae62409c83cb7/405_1_401890740.pdf,https://www.youtube.com/watch?v=16xBb_hILa0
PARTIDO DE LA CLASE TRABAJADORA,PDLCT,DAVID HERNANDEZ BRENES,https://www.tse.go.cr/fichas/static/cb69aae773ff2ff9df8cc66d8fcfbfc5/95f69/113220047.jpg,https://www.tse.go.cr/fichas/static/77aed0a3681480e48d8729c14a53221f/229_1_113220047.pdf,https://www.youtube.com/watch?v=Ivza06J0gjU
PARTIDO CENTRO DEMOCRATICO Y SOCIAL,PCDS,ANA VIRGINIA CALZADA MIRANDA,https://www.tse.go.cr/fichas/static/5ebde696abc2c0a36f272c52e674b8a9/1d851/104340791.jpg,https://www.tse.go.cr/fichas/static/16809e7deea883504f543d9477683927/150_1_104340791.pdf,https://www.youtube.com/watch?v=HKVIEttQCTk
PARTIDO COALICION AGENDA CIUDADANA,PCAC,CLAUDIA VANESSA DOBLES CAMARGO,https://www.tse.go.cr/fichas/static/e149b41a0abd726a0d32434ee2dad6df/1d851/205540759.jpg,https://www.tse.go.cr/fichas/static/edb18ca26d5267075ee07cab230b2a1f/428_1_205540759.pdf,https://www.youtube.com/watch?v=hqiS-X0CiEM
PARTIDO NUEVA REPUBLICA,PNR,GERARDO FABRICIO ALVARADO MUÑOZ,https://www.tse.go.cr/fichas/static/72bc0dd4252b24b9c5604ce016e011b2/1d851/108820284.jpg,https://www.tse.go.cr/fichas/static/91f832cf2e2de4105fed43b2cfbcb7cc/267_1_108820284.pdf,https://www.youtube.com/watch?v=4GWGCR-21mM
PARTIDO AQUI COSTA RICA MANDA,ACRM,RONNY CASTILLO GONZALEZ,https://www.tse.go.cr/fichas/static/122674bac9dd122d40a8d8da6bd05a90/1d851/111580255.jpg,https://www.tse.go.cr/fichas/static/dd7b2ca0fad30e908d5f2bca59ae6b1c/249_1_111580255.pdf,https://www.youtube.com/watch?v=rc7G3-n-6G8
PARTIDO LIBERAL PROGRESISTA,PLP,ELIECER FEINZAIG MINTZ,https://www.tse.go.cr/fichas/static/d4b3a4b8fcf62400636a73ba3bba9475/1d851/106520768.jpg,https://www.tse.go.cr/fichas/static/a9f6dde09efc75835a22ec8ce90b3edf/221_1_106520768.pdf,https://www.youtube.com/watch?v=tdN_G9Jh0mc
PARTIDO PUEBLO SOBERANO,PPSO,LAURA FERNANDEZ DELGADO,https://www.tse.go.cr/fichas/static/bbf4a083edb83335701bee2d872f9ba2/1d851/603560620.jpg,https://www.tse.go.cr/fichas/static/3e86a7a874ede9f5d1c6a75457f5a91a/373_1_603560620.pdf,https://www.youtube.com/watch?v=LdDuLaJ-iH4
PARTIDO AVANZA,PA,JOSE MIGUEL AGUILAR BERROCAL,https://www.tse.go.cr/fichas/static/5f2e89021071543481b0680a3288dcad/1d851/110120440.jpg,https://www.tse.go.cr/fichas/static/befd1fbdee392c253a712a8b77a6dac7/417_1_110120440.pdf,https://www.youtube.com/watch?v=uDmPQotyZRM
PARTIDO ESPERANZA NACIONAL,PEN,CLAUDIO ALBERTO ALPIZAR OTOYA,https://www.tse.go.cr/fichas/static/b2526a02e20c2ed3625d26e0b74c04d8/1d851/105930479.jpg,https://www.tse.go.cr/fichas/static/bee2524cefcf95b0ee9505a81efca3e5/403_1_105930479.pdf,https://www.youtube.com/watch?v=_ctmDd36skw
PARTIDO LIBERACIÓN NACIONAL,PLN,ALVARO ROBERTO RAMOS CHAVES,https://www.tse.go.cr/fichas/static/e22e73c48d44bcfa7a37836b5c8d36ff/1d851/111920165.jpg,https://www.tse.go.cr/fichas/static/f095a3922d2b72c1951873d4064afde7/4_1_111920165.pdf,https://www.youtube.com/watch?v=yxStLBeuNEI
PARTIDO ALIANZA COSTA RICA PRIMERO,CR1,DOUGLAS CAAMAÑO QUIROS,https://www.tse.go.cr/fichas/static/fe0b76fc6c3fbae8f1f68cca93f01660/1c147/107630586.jpg,https://www.tse.go.cr/fichas/static/63bbcbcef69ba28b38d755b2e5db8d35/342_1_107630586.pdf,https://www.youtube.com/watch?v=pcpe9SEXgRc
PARTIDO INTEGRACIÓN NACIONAL,PIN,LUIS ESTEBAN AMADOR JIMENEZ,https://www.tse.go.cr/fichas/static/9c3998308ac01afe80d1ce6d68059b72/b1181/109320986.jpg,https://www.tse.go.cr/fichas/static/159a18a0646d03e0dde2317907b755c1/13_1_109320986.pdf,https://www.youtube.com/watch?v=XFx-_JBlyKo
PARTIDO FRENTE AMPLIO,FA,ANDRES ARIEL ROBLES BARRANTES,https://www.tse.go.cr/fichas/static/24f5779845e45e5f2f976febd354ec27/1c147/114770155.jpg,https://www.tse.go.cr/fichas/static/e3854f865c62787090d1b3bf7daa49b7/73_1_114770155.pdf,https://www.youtube.com/watch?v=8DQt5h-f9NI
PARTIDO UNIDAD SOCIAL CRISTIANA,PUSC,JUAN CARLOS HIDALGO BOGANTES,https://www.tse.go.cr/fichas/static/1c1ef407d48704a4f4425763b1b8dced/1d851/205460309.jpg,https://www.tse.go.cr/fichas/static/c3bd26c142a29aefb21f06225dd07591/6_1_205460309.pdf,https://www.youtube.com/watch?v=z_UOFQKZKxI